"","drop","scale","log","off","abs","square","square - mean","square - x","cube","cube - x","cube - mean","cube - square","sqrt_abs","x[z]*x[,z + 1]"
"1",0.479333333333333,0.476555555555556,0.473111111111111,9,0.482333333333333,0.482333333333333,0.469666666666667,0.480444444444444,0.414444444444444,0.421777777777778,0.425,0.42,0.474444444444444,0.485777777777778
"2",0.478666666666667,0.483333333333333,0.488111111111111,3,0.482333333333333,0.475,0.464444444444444,0.474111111111111,0.471222222222222,0.472777777777778,0.462222222222222,0.468666666666667,0.480444444444444,0.479
"3",0.470888888888889,0.480222222222222,0.467333333333333,1,0.482333333333333,0.481777777777778,0.487777777777778,0.468888888888889,0.470222222222222,0.472222222222222,0.476222222222222,0.467444444444444,0.478888888888889,0.473333333333333
"4",0.477666666666667,0.464333333333333,0.475,1,0.482333333333333,0.480666666666667,0.485333333333333,0.484777777777778,0.48,0.477555555555556,0.481666666666667,0.480333333333333,0.475333333333333,0.488777777777778
"5",0.483666666666667,0.485666666666667,0.480444444444444,1,0.482333333333333,0.475555555555556,0.472777777777778,0.467888888888889,0.477666666666667,0.474333333333333,0.451222222222222,0.494444444444444,0.474,0.472888888888889
"6",0.483666666666667,0.456444444444444,0.479,1,0.482333333333333,0.48,0.483222222222222,0.481444444444444,0.485222222222222,0.472444444444444,0.474,0.480444444444444,0.480666666666667,0.477888888888889
"7",0.492777777777778,0.479666666666667,0.481888888888889,1,0.482333333333333,0.477888888888889,0.481222222222222,0.472888888888889,0.468,0.470666666666667,0.466444444444444,0.48,0.486777777777778,0.479222222222222
"8",0.477,0.477888888888889,0.474555555555556,1,0.482333333333333,0.472444444444444,0.467111111111111,0.471,0.464,0.477,0.454333333333333,0.478888888888889,0.483888888888889,0.466222222222222
"9",0.489666666666667,0.487333333333333,0.491111111111111,1,0.482333333333333,0.475111111111111,0.475555555555556,0.479666666666667,0.481888888888889,0.478222222222222,0.464,0.467111111111111,0.488444444444444,0.480444444444444
"10",0.486888888888889,0.485555555555556,0.483222222222222,1,0.482333333333333,0.477555555555556,0.480888888888889,0.461666666666667,0.483111111111111,0.467111111111111,0.478444444444444,0.483777777777778,0.489888888888889,0.474222222222222
